import,country,year,amount
meats,australia,1999,621.8
meats,australia,2000,820.3
meats,australia,2001,1023.4
meats,australia,2002,1070.1
meats,australia,2003,1146.9
meats,australia,2004,1397.2
meats,australia,2005,1242.4
meats,australia,2006,1280.9
meats,australia,2007,1383.9
meats,australia,2008,1223.1
meats,australia,2009,1150.6
meats,australia,2010,1148.2
meats,australia,2011,1242.1
meats,australia,2012,1517
meats,australia,2013,1523.5
meats,australia,2014,2651.5
meats,canada,1999,1353.8
meats,canada,2000,1558.7
meats,canada,2001,1772.7
meats,canada,2002,1729
meats,canada,2003,1532
meats,canada,2004,1978.1
meats,canada,2005,2045.7
meats,canada,2006,1651.7
meats,canada,2007,1539.8
meats,canada,2008,1525.9
meats,canada,2009,1375
meats,canada,2010,1728.4
meats,canada,2011,1757.9
meats,canada,2012,1658.3
meats,canada,2013,1797.9
meats,canada,2014,2341.5
meats,new_zealand,1999,417.9
meats,new_zealand,2000,515.6
meats,new_zealand,2001,575
meats,new_zealand,2002,583.8
meats,new_zealand,2003,619.3
meats,new_zealand,2004,769
meats,new_zealand,2005,784.8
meats,new_zealand,2006,706.4
meats,new_zealand,2007,659.5
meats,new_zealand,2008,742.8
meats,new_zealand,2009,614.1
meats,new_zealand,2010,718
meats,new_zealand,2011,893.4
meats,new_zealand,2012,948.9
meats,new_zealand,2013,967.9
meats,new_zealand,2014,1163.3
meats,mexico,1999,9.3
meats,mexico,2000,11.8
meats,mexico,2001,15.3
meats,mexico,2002,16
meats,mexico,2003,26.8
meats,mexico,2004,36
meats,mexico,2005,51.5
meats,mexico,2006,81.7
meats,mexico,2007,103.7
meats,mexico,2008,92.1
meats,mexico,2009,134.8
meats,mexico,2010,227.6
meats,mexico,2011,345.4
meats,mexico,2012,547.5
meats,mexico,2013,582.7
meats,mexico,2014,836.5
meats,nicaragua,1999,14.4
meats,nicaragua,2000,22
meats,nicaragua,2001,29.4
meats,nicaragua,2002,32.9
meats,nicaragua,2003,36.4
meats,nicaragua,2004,57.2
meats,nicaragua,2005,56.6
meats,nicaragua,2006,56.2
meats,nicaragua,2007,80.5
meats,nicaragua,2008,101.7
meats,nicaragua,2009,78.2
meats,nicaragua,2010,104.9
meats,nicaragua,2011,164.8
meats,nicaragua,2012,140
